,Flight Number,Onward/Return,Companies,Destination From,Destination to,Departure time,Arrival Time,Ticket Type,Class,Currency,Base Fare,Airline Taxes,Total Amount
466,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
467,1004,Return,Qatar Airways,DOH,DXB,2015-10-31T0200,2015-10-31T0410,E,N,SGD,614.0,231.0,845.0
468,1031,Onward,Qatar Airways,DWC,DOH,2015-10-22T1945,2015-10-22T1950,E,N,SGD,614.0,231.0,845.0
469,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
470,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
471,1032,Return,Qatar Airways,DOH,DWC,2015-10-31T0135,2015-10-31T0340,E,N,SGD,614.0,231.0,845.0
472,1031,Onward,Qatar Airways,DWC,DOH,2015-10-22T1945,2015-10-22T1950,E,N,SGD,614.0,231.0,845.0
473,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
474,835,Return,Qatar Airways,BKK,DOH,2015-10-30T1955,2015-10-30T2255,E,N,SGD,614.0,231.0,845.0
475,1002,Return,Qatar Airways,DOH,DXB,2015-10-31T0100,2015-10-31T0310,E,N,SGD,614.0,231.0,845.0
476,1031,Onward,Qatar Airways,DWC,DOH,2015-10-22T1945,2015-10-22T1950,E,N,SGD,614.0,231.0,845.0
477,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
478,835,Return,Qatar Airways,BKK,DOH,2015-10-30T1955,2015-10-30T2255,E,N,SGD,614.0,231.0,845.0
479,1020,Return,Qatar Airways,DOH,DXB,2015-10-30T2359,2015-10-31T0210,E,N,SGD,614.0,231.0,845.0
480,1031,Onward,Qatar Airways,DWC,DOH,2015-10-22T1945,2015-10-22T1950,E,N,SGD,614.0,231.0,845.0
481,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
482,835,Return,Qatar Airways,BKK,DOH,2015-10-30T1955,2015-10-30T2255,E,N,SGD,614.0,231.0,845.0
483,1032,Return,Qatar Airways,DOH,DWC,2015-10-31T0135,2015-10-31T0340,E,N,SGD,614.0,231.0,845.0
484,1031,Onward,Qatar Airways,DWC,DOH,2015-10-22T1945,2015-10-22T1950,E,N,SGD,614.0,231.0,845.0
485,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
486,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
487,1000,Return,Qatar Airways,DOH,DXB,2015-10-30T0700,2015-10-30T0910,E,N,SGD,614.0,231.0,845.0
488,1031,Onward,Qatar Airways,DWC,DOH,2015-10-22T1945,2015-10-22T1950,E,N,SGD,614.0,231.0,845.0
489,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
490,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
491,1024,Return,Qatar Airways,DOH,DXB,2015-10-30T0600,2015-10-30T0810,E,N,SGD,614.0,231.0,845.0
492,1031,Onward,Qatar Airways,DWC,DOH,2015-10-22T1945,2015-10-22T1950,E,N,SGD,614.0,231.0,845.0
493,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
494,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
495,1028,Return,Qatar Airways,DOH,DWC,2015-10-30T0550,2015-10-30T0755,E,N,SGD,614.0,231.0,845.0
